file_path,true_label,true_label_cn,pred_label,pred_label_cn,confidence
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-07-02-01-02-22.wav,disgust,厌恶,angry,愤怒,0.6313
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-01-01-02-02-23.wav,neutral,中性,happy,开心,0.5991
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-04-02-01-02-23.wav,sad,悲伤,fearful,恐惧,0.7495
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-04-02-02-01-23.wav,sad,悲伤,happy,开心,0.7335
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-04-02-02-02-23.wav,sad,悲伤,fearful,恐惧,0.8777
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-05-01-01-01-23.wav,angry,愤怒,happy,开心,0.9362
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-05-01-01-02-23.wav,angry,愤怒,happy,开心,0.9121
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-05-01-02-01-23.wav,angry,愤怒,happy,开心,0.5404
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-05-01-02-02-23.wav,angry,愤怒,happy,开心,0.5865
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-01-01-01-23.wav,fearful,恐惧,happy,开心,0.3548
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-01-01-02-23.wav,fearful,恐惧,happy,开心,0.8449
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-01-02-01-23.wav,fearful,恐惧,sad,悲伤,0.8492
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-01-02-02-23.wav,fearful,恐惧,sad,悲伤,0.4416
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-02-01-01-23.wav,fearful,恐惧,angry,愤怒,0.8804
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-02-01-02-23.wav,fearful,恐惧,happy,开心,0.4958
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-06-02-02-01-23.wav,fearful,恐惧,happy,开心,0.7998
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-07-01-02-01-23.wav,disgust,厌恶,fearful,恐惧,0.6993
data\speech-emotion-recognition-ravdess-data\Actor_23\03-01-07-01-02-02-23.wav,disgust,厌恶,fearful,恐惧,0.9263
data\speech-emotion-recognition-ravdess-data\Actor_24\03-01-03-01-01-01-24.wav,happy,开心,sad,悲伤,0.8109
data\speech-emotion-recognition-ravdess-data\Actor_24\03-01-03-02-01-01-24.wav,happy,开心,disgust,厌恶,0.8185
data\speech-emotion-recognition-ravdess-data\Actor_24\03-01-04-02-01-02-24.wav,sad,悲伤,disgust,厌恶,0.5703
data\speech-emotion-recognition-ravdess-data\Actor_24\03-01-06-02-01-01-24.wav,fearful,恐惧,happy,开心,0.5085
data\speech-emotion-recognition-ravdess-data\Actor_24\03-01-07-02-02-02-24.wav,disgust,厌恶,fearful,恐惧,0.6756
data\CREMA-D\AudioWAV\1077_DFA_DIS_XX.wav,disgust,厌恶,neutral,中性,0.877
data\CREMA-D\AudioWAV\1077_DFA_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.8182
data\CREMA-D\AudioWAV\1077_IEO_DIS_HI.wav,disgust,厌恶,neutral,中性,0.857
data\CREMA-D\AudioWAV\1077_IEO_DIS_LO.wav,disgust,厌恶,sad,悲伤,0.7068
data\CREMA-D\AudioWAV\1077_IEO_DIS_MD.wav,disgust,厌恶,fearful,恐惧,0.9102
data\CREMA-D\AudioWAV\1077_IEO_FEA_LO.wav,fearful,恐惧,sad,悲伤,0.4745
data\CREMA-D\AudioWAV\1077_IEO_FEA_MD.wav,fearful,恐惧,sad,悲伤,0.6482
data\CREMA-D\AudioWAV\1077_IEO_HAP_HI.wav,happy,开心,angry,愤怒,0.8821
data\CREMA-D\AudioWAV\1077_IEO_SAD_HI.wav,sad,悲伤,disgust,厌恶,0.5637
data\CREMA-D\AudioWAV\1077_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.5287
data\CREMA-D\AudioWAV\1077_IOM_DIS_XX.wav,disgust,厌恶,neutral,中性,0.7792
data\CREMA-D\AudioWAV\1077_IOM_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.8812
data\CREMA-D\AudioWAV\1077_IOM_SAD_XX.wav,sad,悲伤,neutral,中性,0.9038
data\CREMA-D\AudioWAV\1077_ITH_SAD_XX.wav,sad,悲伤,neutral,中性,0.6767
data\CREMA-D\AudioWAV\1077_ITS_SAD_XX.wav,sad,悲伤,neutral,中性,0.5944
data\CREMA-D\AudioWAV\1077_IWL_FEA_XX.wav,fearful,恐惧,neutral,中性,0.9359
data\CREMA-D\AudioWAV\1077_IWL_SAD_XX.wav,sad,悲伤,neutral,中性,0.529
data\CREMA-D\AudioWAV\1077_IWW_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.7484
data\CREMA-D\AudioWAV\1077_IWW_SAD_XX.wav,sad,悲伤,neutral,中性,0.8024
data\CREMA-D\AudioWAV\1077_MTI_FEA_XX.wav,fearful,恐惧,neutral,中性,0.6822
data\CREMA-D\AudioWAV\1077_MTI_NEU_XX.wav,neutral,中性,angry,愤怒,0.8807
data\CREMA-D\AudioWAV\1077_MTI_SAD_XX.wav,sad,悲伤,neutral,中性,0.8206
data\CREMA-D\AudioWAV\1077_TAI_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.62
data\CREMA-D\AudioWAV\1077_TAI_FEA_XX.wav,fearful,恐惧,neutral,中性,0.9076
data\CREMA-D\AudioWAV\1077_TAI_HAP_XX.wav,happy,开心,neutral,中性,0.6444
data\CREMA-D\AudioWAV\1077_TIE_FEA_XX.wav,fearful,恐惧,neutral,中性,0.6234
data\CREMA-D\AudioWAV\1077_TIE_HAP_XX.wav,happy,开心,disgust,厌恶,0.7245
data\CREMA-D\AudioWAV\1077_TIE_SAD_XX.wav,sad,悲伤,neutral,中性,0.9355
data\CREMA-D\AudioWAV\1077_TSI_FEA_XX.wav,fearful,恐惧,neutral,中性,0.9222
data\CREMA-D\AudioWAV\1077_TSI_SAD_XX.wav,sad,悲伤,neutral,中性,0.6654
data\CREMA-D\AudioWAV\1077_WSI_HAP_XX.wav,happy,开心,neutral,中性,0.8259
data\CREMA-D\AudioWAV\1077_WSI_SAD_XX.wav,sad,悲伤,neutral,中性,0.9378
data\CREMA-D\AudioWAV\1078_IEO_DIS_MD.wav,disgust,厌恶,angry,愤怒,0.8701
data\CREMA-D\AudioWAV\1078_IEO_HAP_HI.wav,happy,开心,disgust,厌恶,0.8903
data\CREMA-D\AudioWAV\1078_IEO_SAD_HI.wav,sad,悲伤,fearful,恐惧,0.8986
data\CREMA-D\AudioWAV\1078_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.9142
data\CREMA-D\AudioWAV\1078_ITS_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.8535
data\CREMA-D\AudioWAV\1078_IWL_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.8968
data\CREMA-D\AudioWAV\1078_IWL_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.9134
data\CREMA-D\AudioWAV\1078_MTI_NEU_XX.wav,neutral,中性,sad,悲伤,0.6563
data\CREMA-D\AudioWAV\1078_TIE_HAP_XX.wav,happy,开心,angry,愤怒,0.6573
data\CREMA-D\AudioWAV\1078_TSI_DIS_XX.wav,disgust,厌恶,happy,开心,0.8919
data\CREMA-D\AudioWAV\1078_TSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.9017
data\CREMA-D\AudioWAV\1079_DFA_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.9082
data\CREMA-D\AudioWAV\1079_DFA_HAP_XX.wav,happy,开心,disgust,厌恶,0.5087
data\CREMA-D\AudioWAV\1079_IEO_FEA_LO.wav,fearful,恐惧,happy,开心,0.5654
data\CREMA-D\AudioWAV\1079_IEO_SAD_HI.wav,sad,悲伤,fearful,恐惧,0.8965
data\CREMA-D\AudioWAV\1079_IWL_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.5661
data\CREMA-D\AudioWAV\1079_IWL_FEA_XX.wav,fearful,恐惧,happy,开心,0.8816
data\CREMA-D\AudioWAV\1079_IWL_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8802
data\CREMA-D\AudioWAV\1079_IWW_FEA_XX.wav,fearful,恐惧,happy,开心,0.9026
data\CREMA-D\AudioWAV\1079_IWW_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.5704
data\CREMA-D\AudioWAV\1079_MTI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.9112
data\CREMA-D\AudioWAV\1079_TAI_FEA_XX.wav,fearful,恐惧,happy,开心,0.7346
data\CREMA-D\AudioWAV\1079_TAI_SAD_XX.wav,sad,悲伤,neutral,中性,0.8926
data\CREMA-D\AudioWAV\1079_TSI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.9177
data\CREMA-D\AudioWAV\1079_TSI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.7602
data\CREMA-D\AudioWAV\1079_WSI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.8696
data\CREMA-D\AudioWAV\1080_IEO_ANG_LO.wav,angry,愤怒,disgust,厌恶,0.6156
data\CREMA-D\AudioWAV\1080_IEO_SAD_HI.wav,sad,悲伤,disgust,厌恶,0.9285
data\CREMA-D\AudioWAV\1080_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.6911
data\CREMA-D\AudioWAV\1080_IWL_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8444
data\CREMA-D\AudioWAV\1080_TAI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.8908
data\CREMA-D\AudioWAV\1080_TSI_NEU_XX.wav,neutral,中性,disgust,厌恶,0.7518
data\CREMA-D\AudioWAV\1080_TSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8422
data\CREMA-D\AudioWAV\1080_WSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8794
data\CREMA-D\AudioWAV\1081_IEO_HAP_HI.wav,happy,开心,fearful,恐惧,0.8247
data\CREMA-D\AudioWAV\1081_IEO_HAP_MD.wav,happy,开心,angry,愤怒,0.3746
data\CREMA-D\AudioWAV\1081_IEO_SAD_LO.wav,sad,悲伤,disgust,厌恶,0.9014
data\CREMA-D\AudioWAV\1081_IOM_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.5244
data\CREMA-D\AudioWAV\1081_ITS_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.6805
data\CREMA-D\AudioWAV\1081_IWL_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.6004
data\CREMA-D\AudioWAV\1081_IWL_NEU_XX.wav,neutral,中性,sad,悲伤,0.9232
data\CREMA-D\AudioWAV\1081_IWW_NEU_XX.wav,neutral,中性,disgust,厌恶,0.8816
data\CREMA-D\AudioWAV\1081_MTI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.8712
data\CREMA-D\AudioWAV\1081_TAI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.6546
data\CREMA-D\AudioWAV\1081_TIE_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.7091
data\CREMA-D\AudioWAV\1081_WSI_ANG_XX.wav,angry,愤怒,fearful,恐惧,0.8982
data\CREMA-D\AudioWAV\1082_DFA_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.8918
data\CREMA-D\AudioWAV\1082_DFA_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.5349
data\CREMA-D\AudioWAV\1082_DFA_HAP_XX.wav,happy,开心,angry,愤怒,0.787
data\CREMA-D\AudioWAV\1082_DFA_SAD_XX.wav,sad,悲伤,neutral,中性,0.9227
data\CREMA-D\AudioWAV\1082_IEO_HAP_HI.wav,happy,开心,angry,愤怒,0.8002
data\CREMA-D\AudioWAV\1082_IEO_SAD_HI.wav,sad,悲伤,neutral,中性,0.748
data\CREMA-D\AudioWAV\1082_IEO_SAD_MD.wav,sad,悲伤,disgust,厌恶,0.7748
data\CREMA-D\AudioWAV\1082_IOM_FEA_XX.wav,fearful,恐惧,neutral,中性,0.7348
data\CREMA-D\AudioWAV\1082_IOM_HAP_XX.wav,happy,开心,angry,愤怒,0.8108
data\CREMA-D\AudioWAV\1082_IOM_SAD_XX.wav,sad,悲伤,neutral,中性,0.7973
data\CREMA-D\AudioWAV\1082_ITH_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.7832
data\CREMA-D\AudioWAV\1082_ITS_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.8966
data\CREMA-D\AudioWAV\1082_ITS_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.6239
data\CREMA-D\AudioWAV\1082_ITS_SAD_XX.wav,sad,悲伤,angry,愤怒,0.43
data\CREMA-D\AudioWAV\1082_IWL_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.9202
data\CREMA-D\AudioWAV\1082_IWL_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.8706
data\CREMA-D\AudioWAV\1082_IWL_HAP_XX.wav,happy,开心,angry,愤怒,0.878
data\CREMA-D\AudioWAV\1082_IWL_NEU_XX.wav,neutral,中性,happy,开心,0.7699
data\CREMA-D\AudioWAV\1082_IWL_SAD_XX.wav,sad,悲伤,neutral,中性,0.6889
data\CREMA-D\AudioWAV\1082_IWW_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.9216
data\CREMA-D\AudioWAV\1082_IWW_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.6951
data\CREMA-D\AudioWAV\1082_IWW_HAP_XX.wav,happy,开心,angry,愤怒,0.9037
data\CREMA-D\AudioWAV\1082_IWW_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.3556
data\CREMA-D\AudioWAV\1082_MTI_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.9192
data\CREMA-D\AudioWAV\1082_MTI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.8276
data\CREMA-D\AudioWAV\1082_MTI_SAD_XX.wav,sad,悲伤,angry,愤怒,0.9004
data\CREMA-D\AudioWAV\1082_TAI_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.765
data\CREMA-D\AudioWAV\1082_TAI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.9078
data\CREMA-D\AudioWAV\1082_TAI_SAD_XX.wav,sad,悲伤,angry,愤怒,0.8684
data\CREMA-D\AudioWAV\1082_TIE_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.7923
data\CREMA-D\AudioWAV\1082_TIE_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.5453
data\CREMA-D\AudioWAV\1082_TSI_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.6204
data\CREMA-D\AudioWAV\1082_TSI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.8963
data\CREMA-D\AudioWAV\1082_TSI_HAP_XX.wav,happy,开心,neutral,中性,0.914
data\CREMA-D\AudioWAV\1082_TSI_SAD_XX.wav,sad,悲伤,neutral,中性,0.9408
data\CREMA-D\AudioWAV\1082_WSI_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.9047
data\CREMA-D\AudioWAV\1082_WSI_HAP_XX.wav,happy,开心,angry,愤怒,0.5349
data\CREMA-D\AudioWAV\1082_WSI_SAD_XX.wav,sad,悲伤,neutral,中性,0.9125
data\CREMA-D\AudioWAV\1083_DFA_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.9177
data\CREMA-D\AudioWAV\1083_DFA_HAP_XX.wav,happy,开心,sad,悲伤,0.7682
data\CREMA-D\AudioWAV\1083_DFA_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.5117
data\CREMA-D\AudioWAV\1083_IEO_ANG_HI.wav,angry,愤怒,disgust,厌恶,0.927
data\CREMA-D\AudioWAV\1083_IEO_DIS_MD.wav,disgust,厌恶,fearful,恐惧,0.7152
data\CREMA-D\AudioWAV\1083_IEO_FEA_LO.wav,fearful,恐惧,disgust,厌恶,0.6806
data\CREMA-D\AudioWAV\1083_IEO_HAP_MD.wav,happy,开心,disgust,厌恶,0.9191
data\CREMA-D\AudioWAV\1083_IEO_NEU_XX.wav,neutral,中性,sad,悲伤,0.8014
data\CREMA-D\AudioWAV\1083_IEO_SAD_LO.wav,sad,悲伤,fearful,恐惧,0.4716
data\CREMA-D\AudioWAV\1083_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.8845
data\CREMA-D\AudioWAV\1083_IOM_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.6776
data\CREMA-D\AudioWAV\1083_IOM_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.7833
data\CREMA-D\AudioWAV\1083_IOM_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.5869
data\CREMA-D\AudioWAV\1083_ITH_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.605
data\CREMA-D\AudioWAV\1083_ITH_NEU_XX.wav,neutral,中性,happy,开心,0.7458
data\CREMA-D\AudioWAV\1083_ITH_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.9144
data\CREMA-D\AudioWAV\1083_ITS_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.7875
data\CREMA-D\AudioWAV\1083_IWL_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.5612
data\CREMA-D\AudioWAV\1083_IWW_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.9327
data\CREMA-D\AudioWAV\1083_IWW_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.7386
data\CREMA-D\AudioWAV\1083_MTI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.934
data\CREMA-D\AudioWAV\1083_MTI_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.8603
data\CREMA-D\AudioWAV\1083_MTI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8187
data\CREMA-D\AudioWAV\1083_TAI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.8487
data\CREMA-D\AudioWAV\1083_TAI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.5736
data\CREMA-D\AudioWAV\1083_TIE_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.9263
data\CREMA-D\AudioWAV\1083_TIE_NEU_XX.wav,neutral,中性,happy,开心,0.7234
data\CREMA-D\AudioWAV\1083_TIE_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8865
data\CREMA-D\AudioWAV\1083_TSI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.7106
data\CREMA-D\AudioWAV\1083_TSI_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.8762
data\CREMA-D\AudioWAV\1083_TSI_HAP_XX.wav,happy,开心,disgust,厌恶,0.6738
data\CREMA-D\AudioWAV\1083_WSI_HAP_XX.wav,happy,开心,neutral,中性,0.5866
data\CREMA-D\AudioWAV\1084_DFA_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.8465
data\CREMA-D\AudioWAV\1084_IEO_DIS_HI.wav,disgust,厌恶,angry,愤怒,0.6192
data\CREMA-D\AudioWAV\1084_IEO_FEA_MD.wav,fearful,恐惧,sad,悲伤,0.7461
data\CREMA-D\AudioWAV\1084_IEO_HAP_LO.wav,happy,开心,neutral,中性,0.7102
data\CREMA-D\AudioWAV\1084_IOM_DIS_XX.wav,disgust,厌恶,happy,开心,0.9071
data\CREMA-D\AudioWAV\1084_IOM_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.8867
data\CREMA-D\AudioWAV\1084_IOM_SAD_XX.wav,sad,悲伤,neutral,中性,0.9183
data\CREMA-D\AudioWAV\1084_IWL_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.6039
data\CREMA-D\AudioWAV\1084_IWL_HAP_XX.wav,happy,开心,angry,愤怒,0.5856
data\CREMA-D\AudioWAV\1084_IWW_DIS_XX.wav,disgust,厌恶,neutral,中性,0.9032
data\CREMA-D\AudioWAV\1084_IWW_SAD_XX.wav,sad,悲伤,neutral,中性,0.8398
data\CREMA-D\AudioWAV\1084_MTI_HAP_XX.wav,happy,开心,disgust,厌恶,0.5903
data\CREMA-D\AudioWAV\1084_TIE_FEA_XX.wav,fearful,恐惧,neutral,中性,0.8826
data\CREMA-D\AudioWAV\1084_TIE_SAD_XX.wav,sad,悲伤,neutral,中性,0.9434
data\CREMA-D\AudioWAV\1084_WSI_HAP_XX.wav,happy,开心,angry,愤怒,0.4244
data\CREMA-D\AudioWAV\1084_WSI_SAD_XX.wav,sad,悲伤,neutral,中性,0.8378
data\CREMA-D\AudioWAV\1085_DFA_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.5317
data\CREMA-D\AudioWAV\1085_DFA_FEA_XX.wav,fearful,恐惧,neutral,中性,0.4841
data\CREMA-D\AudioWAV\1085_IEO_FEA_HI.wav,fearful,恐惧,angry,愤怒,0.4841
data\CREMA-D\AudioWAV\1085_IEO_FEA_LO.wav,fearful,恐惧,sad,悲伤,0.5461
data\CREMA-D\AudioWAV\1085_IEO_HAP_LO.wav,happy,开心,disgust,厌恶,0.8451
data\CREMA-D\AudioWAV\1085_IEO_SAD_LO.wav,sad,悲伤,neutral,中性,0.7729
data\CREMA-D\AudioWAV\1085_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.4797
data\CREMA-D\AudioWAV\1085_IOM_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.9233
data\CREMA-D\AudioWAV\1085_IOM_NEU_XX.wav,neutral,中性,fearful,恐惧,0.4521
data\CREMA-D\AudioWAV\1085_ITH_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.9093
data\CREMA-D\AudioWAV\1085_ITH_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.9145
data\CREMA-D\AudioWAV\1085_ITH_NEU_XX.wav,neutral,中性,fearful,恐惧,0.452
data\CREMA-D\AudioWAV\1085_ITS_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.5778
data\CREMA-D\AudioWAV\1085_IWL_DIS_XX.wav,disgust,厌恶,neutral,中性,0.6686
data\CREMA-D\AudioWAV\1085_IWL_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.5094
data\CREMA-D\AudioWAV\1085_IWL_NEU_XX.wav,neutral,中性,disgust,厌恶,0.758
data\CREMA-D\AudioWAV\1085_MTI_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.7892
data\CREMA-D\AudioWAV\1085_TAI_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.7694
data\CREMA-D\AudioWAV\1085_TAI_HAP_XX.wav,happy,开心,fearful,恐惧,0.3869
data\CREMA-D\AudioWAV\1085_TIE_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.6018
data\CREMA-D\AudioWAV\1085_TSI_FEA_XX.wav,fearful,恐惧,neutral,中性,0.6513
data\CREMA-D\AudioWAV\1085_WSI_FEA_XX.wav,fearful,恐惧,happy,开心,0.5002
data\CREMA-D\AudioWAV\1086_IEO_FEA_HI.wav,fearful,恐惧,angry,愤怒,0.9036
data\CREMA-D\AudioWAV\1086_IEO_FEA_LO.wav,fearful,恐惧,happy,开心,0.4709
data\CREMA-D\AudioWAV\1086_IEO_HAP_HI.wav,happy,开心,disgust,厌恶,0.9502
data\CREMA-D\AudioWAV\1086_IEO_HAP_LO.wav,happy,开心,neutral,中性,0.9003
data\CREMA-D\AudioWAV\1086_IEO_HAP_MD.wav,happy,开心,angry,愤怒,0.5679
data\CREMA-D\AudioWAV\1086_IEO_NEU_XX.wav,neutral,中性,fearful,恐惧,0.5925
data\CREMA-D\AudioWAV\1086_IEO_SAD_HI.wav,sad,悲伤,fearful,恐惧,0.9026
data\CREMA-D\AudioWAV\1086_IEO_SAD_LO.wav,sad,悲伤,fearful,恐惧,0.7823
